_案由,件数
民间借贷纠纷,9
点击了解更多,2
侵害外观设计专利权纠纷,2
合同纠纷,1
(空),1
买卖合同纠纷,1
著作权权属、侵权纠纷,1
申请确认仲裁协议效力,1
追偿权纠纷,1
国内非涉外仲裁裁决,1
